Cu,Ni,Al,r,del_r,del_EN,S,VEC
0.0,0.44,0.56,1.294,0.04963869458396347,0.1489160837518902,5.702820359298228,6.08
0.0,0.46,0.54,1.2960000000000003,0.04983974317750849,0.14951922953252525,5.736192407823133,6.220000000000001
0.0,0.48,0.52,1.298,0.04995998398718723,0.14987995196156148,5.756172684385939,6.359999999999999
0.0,0.5,0.5,1.3,0.050000000000000044,0.1499999999999999,5.762825659175385,6.5
0.0,0.52,0.48,1.302,0.04995998398718723,0.14987995196156148,5.756172684385939,6.640000000000001
0.0,0.54,0.46,1.3040000000000003,0.04983974317750849,0.14951922953252525,5.736192407823133,6.78
0.0,0.56,0.44,1.306,0.04963869458396347,0.1489160837518902,5.702820359298228,6.920000000000001
0.0,0.58,0.42,1.308,0.0493558507170123,0.1480675521510367,5.655947689597564,7.06
0.0,0.6,0.4,1.31,0.048989794855663606,0.1469693845669906,5.595418999514958,7.2
0.0,0.62,0.38,1.312,0.04853864439804643,0.14561593319413907,5.521029148253994,7.34
0.0,0.64,0.36,1.314,0.04800000000000004,0.1439999999999999,5.432518871514836,7.48
0.0,0.66,0.34,1.3160000000000003,0.047370877129308084,0.14211263138792404,5.329568963103927,7.620000000000001
0.0,0.68,0.32,1.318,0.04664761515876245,0.13994284547628713,5.211792670257152,7.760000000000001
0.0,0.7,0.3,1.3199999999999998,0.04582575694955844,0.13747727084867511,5.078725807284385,7.9
0.0,0.72,0.28,1.322,0.044899888641287335,0.13469966592386182,4.929813881258303,8.04
0.0,0.74,0.26,1.324,0.04386342439892266,0.13159027319676778,4.764395209030629,8.18
0.0,0.76,0.24,1.326,0.04270831300812528,0.12812493902437566,4.581678522115092,8.32
0.0,0.78,0.22,1.3280000000000003,0.041424630354415994,0.12427389106324781,4.380712791340496,8.46
0.0,0.8,0.2,1.33,0.040000000000000036,0.11999999999999994,4.160345749296494,8.6
0.0,0.82,0.18,1.3319999999999999,0.038418745424597125,0.11525623627379121,3.9191654493391233,8.739999999999998
0.0,0.84,0.16,1.334,0.03666060555964675,0.1099818166789401,3.6554153773427656,8.88
0.0,0.86,0.14,1.336,0.03469870314579498,0.10409610943738477,3.366866414821585,9.02
0.0,0.88,0.12,1.338,0.03249615361854387,0.09748846085563147,3.050614377441308,9.16
0.0,0.9,0.1,1.34,0.03000000000000003,0.08999999999999996,2.7027398407765,9.3
0.0,0.92,0.08,1.3420000000000003,0.0271293199325011,0.08138795979750317,2.3176885568840357,9.440000000000001
0.0,0.94,0.06,1.3439999999999999,0.023748684174075853,0.07124605252222746,1.8870079820700256,9.579999999999998
0.0,0.96,0.04,1.346,0.01959591794226544,0.05878775382679624,1.3962876442619143,9.719999999999999
0.0,0.98,0.02,1.3479999999999999,0.014000000000000012,0.041999999999999975,0.8150971878076918,9.860000000000001
0.0,1.0,0.0,1.35,0.0,0.0,-0.0,10.0
0.02,0.0,0.98,1.252,0.014000000000000012,0.040599999999999976,0.8150971878076918,3.16
0.02,0.02,0.96,1.254,0.01959591794226544,0.05781660661090372,1.6268006706289297,3.3
0.02,0.04,0.94,1.2559999999999998,0.023748684174075857,0.07046389146222336,2.20452670978221,3.44
0.02,0.06,0.92,1.2580000000000002,0.027129319932501096,0.08071901882456198,2.691708908272897,3.58
0.02,0.08,0.9,1.26,0.030000000000000027,0.08940894809805107,3.11877441570615,3.72
0.02,0.1,0.88,1.262,0.032496153618543876,0.09695545368879457,3.500130284303043,3.8600000000000003
0.02,0.12,0.86,1.264,0.03469870314579497,0.1036086868944877,3.844225404656561,4.0
0.02,0.14,0.84,1.266,0.03666060555964675,0.10953154796678438,4.156610116652528,4.140000000000001
0.02,0.16,0.82,1.268,0.038418745424597125,0.11483710201846781,4.441199657410138,4.28
0.02,0.18,0.8,1.27,0.040000000000000036,0.11960752484689241,4.700893717451795,4.42
0.02,0.2,0.78,1.2720000000000002,0.041424630354415994,0.12390464075247537,4.937916584280041,4.5600000000000005
0.02,0.22,0.76,1.274,0.04270831300812528,0.12777621061840885,5.154019569266032,4.700000000000001
0.02,0.24,0.74,1.276,0.04386342439892266,0.13125989486511094,5.350609005372801,4.84
0.02,0.26,0.72,1.278,0.044899888641287335,0.1343858623516625,5.528831090953099,4.98
0.02,0.28,0.7,1.28,0.04582575694955844,0.13717856975490006,5.689630280115564,5.12
0.02,0.3,0.68,1.282,0.04664761515876245,0.13965801086940904,5.8337907024125135,5.26
0.02,0.32,0.66,1.2840000000000003,0.04737087712930809,0.1418406147758814,5.961966271803785,5.4
0.02,0.34,0.64,1.286,0.04800000000000004,0.14373990399328912,6.074703005324023,5.540000000000001
0.02,0.36,0.62,1.288,0.04853864439804643,0.14536698387185437,6.172455817660577,5.68
0.02,0.38,0.6,1.29,0.048989794855663606,0.14673091017232864,6.255601292785992,5.819999999999999
0.02,0.4,0.58,1.292,0.0493558507170123,0.14783896644660358,6.324447450504078,5.959999999999999
0.02,0.42,0.56,1.294,0.04963869458396347,0.14869687286557162,6.379241210637819,6.1
0.02,0.44,0.54,1.2960000000000003,0.04983974317750849,0.14930894146031568,6.420174045813954,6.24
0.02,0.46,0.52,1.298,0.049959983987187234,0.14967818812372086,6.447386167064016,6.380000000000001
0.02,0.48,0.5,1.3,0.050000000000000044,0.14980640840765114,6.460969481306342,6.52
0.02,0.5,0.48,1.302,0.04995998398718723,0.1496942216653668,6.460969481306342,6.66
0.02,0.52,0.46,1.3040000000000003,0.04983974317750849,0.14934108610827757,6.447386167064016,6.8
0.02,0.54,0.44,1.306,0.04963869458396347,0.1487452856395791,6.420174045813954,6.94
0.02,0.56,0.42,1.3080000000000003,0.0493558507170123,0.14790388771090493,6.379241210637819,7.08
0.02,0.58,0.4,1.31,0.048989794855663606,0.1468126697529882,6.324447450504078,7.22
0.02,0.6,0.38,1.312,0.04853864439804643,0.14546600977547977,6.255601292785992,7.359999999999999
0.02,0.62,0.36,1.314,0.04800000000000004,0.1438567342879713,6.172455817660577,7.5
0.02,0.64,0.34,1.3160000000000003,0.047370877129308084,0.14197591345013413,6.074703005324024,7.640000000000001
0.02,0.66,0.32,1.318,0.04664761515876245,0.13981258884664133,5.961966271803785,7.78
0.02,0.68,0.3,1.3200000000000003,0.04582575694955844,0.1373534127715798,5.8337907024125135,7.92
0.02,0.7,0.28,1.322,0.044899888641287335,0.1345821682096108,5.689630280115564,8.06
0.02,0.72,0.26,1.324,0.04386342439892266,0.13147912381819396,5.528831090953099,8.2
0.02,0.74,0.24,1.326,0.04270831300812528,0.12802015466324035,5.350609005372801,8.34
0.02,0.76,0.22,1.3279999999999998,0.041424630354415994,0.12417552093709928,5.154019569266032,8.479999999999999
0.02,0.78,0.2,1.33,0.040000000000000036,0.11990813150074511,4.937916584280041,8.620000000000001
0.02,0.8,0.18,1.3319999999999999,0.038418745424597125,0.11517100329510022,4.700893717451795,8.760000000000002
0.02,0.82,0.16,1.3339999999999999,0.03666060555964675,0.10990341213993307,4.441199657410138,8.9
0.02,0.84,0.14,1.336,0.03469870314579498,0.10402480473425552,4.156610116652528,9.040000000000001
0.02,0.86,0.12,1.3379999999999999,0.03249615361854387,0.09742463754102444,3.8442254046565614,9.18
0.02,0.88,0.1,1.34,0.03000000000000003,0.08994420492727694,3.5001302843030424,9.320000000000002
0.02,0.9,0.08,1.342,0.027129319932501096,0.08134101056662618,3.1187744157061505,9.46
0.02,0.92,0.06,1.344,0.023748684174075853,0.07120926905958236,2.6917089082728975,9.600000000000001
0.02,0.94,0.04,1.3459999999999999,0.019595917942265444,0.05876359417190201,2.20452670978221,9.739999999999998
0.02,0.96,0.02,1.3479999999999999,0.014000000000000012,0.041994761578082546,1.6268006706289297,9.88
0.02,0.98,0.0,1.3499999999999999,2.220446049250313e-16,0.0014000000000000013,0.8150971878076918,10.020000000000001
0.04,0.0,0.96,1.254,0.01959591794226544,0.05682816203256969,1.3962876442619143,3.32
0.04,0.02,0.94,1.2559999999999998,0.023748684174075857,0.06967237616157493,2.20452670978221,3.46
0.04,0.04,0.92,1.2580000000000002,0.027129319932501096,0.08004398790665038,2.7787146096180657,3.6000000000000005
0.04,0.06,0.9,1.26,0.030000000000000027,0.08881351248543203,3.262281740727996,3.74
0.04,0.08,0.88,1.262,0.032496153618543876,0.09641908524768314,3.685651832865677,3.88
0.04,0.1,0.86,1.264,0.03469870314579498,0.10311857252697007,4.063228285151281,4.02
0.04,0.12,0.84,1.266,0.03666060555964675,0.10907905390128751,4.403456080120489,4.16
0.04,0.14,0.82,1.268,0.038418745424597125,0.11441608278559437,4.711881370352884,4.3
0.04,0.16,0.8,1.27,0.040000000000000036,0.11921342206312166,4.992414899155793,4.44
0.04,0.18,0.78,1.272,0.041424630354415994,0.12353396294137083,5.2479515260683245,4.58
0.04,0.2,0.76,1.274,0.04270831300812528,0.12742621394359946,5.480710335838562,4.720000000000001
0.04,0.22,0.74,1.276,0.04386342439892266,0.13092837736716964,5.692437026156727,4.859999999999999
0.04,0.24,0.72,1.278,0.044899888641287335,0.13407102595266426,5.884531860928256,5.0
0.04,0.26,0.7,1.28,0.04582575694955844,0.13687892460126933,6.058134463443345,5.14
0.04,0.28,0.68,1.282,0.04664761515876245,0.13937230714887366,6.214182148876677,5.28
0.04,0.3,0.66,1.284,0.047370877129308084,0.14156779294740726,6.3534512775921295,5.42
0.04,0.32,0.64,1.286,0.04800000000000004,0.1434790577052971,6.476587287656865,5.5600000000000005
0.04,0.34,0.62,1.2880000000000003,0.048538644398046435,0.14511733183875722,6.584126925102747,5.7
0.04,0.36,0.6,1.29,0.048989794855663606,0.14649177451311038,6.676514935825558,5.84
0.04,0.38,0.58,1.292,0.0493558507170123,0.14760975577515184,6.754116717408096,5.98
0.04,0.4,0.56,1.294,0.04963869458396347,0.14847706893658688,6.817227945177318,6.120000000000001
