Cu,Ni,Al,std
0.18,0.34,0.48,9.594325399900155
0.18,0.36,0.46,9.826392501448147
0.18,0.38,0.44,9.904082444409266
0.18,0.4,0.42,9.858008490199946
0.18,0.42,0.4,9.723493158331975
0.18,0.44,0.38,9.537650639419455
0.18,0.46,0.36,9.33443274808606
0.18,0.48,0.34,9.137395259554426
0.18,0.5,0.32,8.95134732355927
0.18,0.52,0.3,8.755716281895909
0.18,0.54,0.28,8.503033532881764
0.18,0.56,0.26,8.124675391004034
0.18,0.58,0.24,7.544419074331722
0.18,0.6,0.22,6.701865531243779
0.18,0.62,0.2,5.598307415516909
0.18,0.64,0.18,4.418446690111141
0.18,0.66,0.16,3.8427460924331935
0.18,0.68,0.14,4.837343270719338
0.18,0.7,0.12,7.1174444008405375
0.18,0.72,0.1,9.889402137728943
0.18,0.74,0.08,12.634275309828581
0.18,0.76,0.06,14.968052260579912
0.18,0.78,0.04,16.572091137909627
0.18,0.8,0.02,17.181898853191502
0.18,0.82,0.0,16.69830613391701
0.2,0.0,0.8,18.026006949711952
0.2,0.02,0.78,16.810375973371897
0.2,0.04,0.76,15.248863425178605
0.2,0.06,0.74,13.385547951714667
0.2,0.08,0.72,11.314793192575497
0.2,0.1,0.7,9.151564942736146
0.2,0.12,0.68,7.038494696065375
0.2,0.14,0.66,5.182310822421895
0.2,0.16,0.64,3.943200866436844
0.2,0.18,0.62,3.768757167803815
0.2,0.2,0.6,4.538516272572031
0.2,0.22,0.58,5.6703959094374525
0.2,0.24,0.56,6.805077379593804
0.2,0.26,0.54,7.79715476635122
0.2,0.28,0.52,8.590791889755632
0.2,0.3,0.5,9.168105939631957
0.2,0.32,0.48,9.530569285732279
0.2,0.34,0.46,9.691868286922373
0.2,0.36,0.44,9.675103054131213
0.2,0.38,0.42,9.511766014386748
0.2,0.4,0.4,9.241178713984938
0.2,0.42,0.38,8.909170779451147
0.2,0.44,0.36,8.564475997342718
0.2,0.46,0.34,8.251259701308479
0.2,0.48,0.32,7.997469676948193
0.2,0.5,0.3,7.802028167093997
0.2,0.52,0.28,7.627312606414425
0.2,0.54,0.26,7.402649393778817
0.2,0.56,0.24,7.0394983882046835
0.2,0.58,0.22,6.456500015381847
0.2,0.6,0.2,5.619913483719952
0.2,0.62,0.18,4.6322485725550875
0.2,0.64,0.16,3.954048889481823
0.2,0.66,0.14,4.4728453234729395
0.2,0.68,0.12,6.350288485124204
0.2,0.7,0.1,8.9151302881401
0.2,0.72,0.08,11.60451583023566
0.2,0.74,0.06,14.003474209122368
0.2,0.76,0.04,15.766520980137821
0.2,0.78,0.02,16.609458303853447
0.2,0.8,0.0,16.481117087571818
0.22,0.0,0.78,17.302877350839935
0.22,0.02,0.76,15.702755522758839
0.22,0.04,0.74,13.863384635504667
0.22,0.06,0.72,11.8192586522886
0.22,0.08,0.7,9.676914121727847
0.22,0.1,0.68,7.574507853143023
0.22,0.12,0.66,5.708592253324421
0.22,0.14,0.64,4.400587170650975
0.22,0.16,0.62,4.055428842695977
0.22,0.18,0.6,4.655036956365111
0.22,0.2,0.58,5.694128318925959
0.22,0.22,0.56,6.785909241827869
0.22,0.24,0.54,7.754989884380407
0.22,0.26,0.52,8.528795221450439
0.22,0.28,0.5,9.07994156498581
0.22,0.3,0.48,9.403848122390682
0.22,0.32,0.46,9.50995849450506
0.22,0.34,0.44,9.418411249807018
0.22,0.36,0.42,9.159238461886474
0.22,0.38,0.4,8.77279736656187
0.22,0.4,0.38,8.310354503739447
0.22,0.42,0.36,7.8330930555173515
0.22,0.44,0.34,7.4065723839958375
0.22,0.46,0.32,7.087238081235386
0.22,0.48,0.3,6.901482534792591
0.22,0.5,0.28,6.82717073860915
0.22,0.52,0.26,6.792264141657769
0.22,0.54,0.24,6.694344876222984
0.22,0.56,0.22,6.431995793060814
0.22,0.58,0.2,5.943665212419243
0.22,0.6,0.18,5.269904965780512
0.22,0.62,0.16,4.678255443541979
0.22,0.64,0.14,4.7746645028131045
0.22,0.66,0.12,6.028413612649697
0.22,0.68,0.1,8.164405094223593
0.22,0.7,0.08,10.64173290491049
0.22,0.72,0.06,12.997533756357576
0.22,0.74,0.04,14.842343482800876
0.22,0.76,0.02,15.846949007209247
0.22,0.78,0.0,15.95133272052258
0.24,0.0,0.76,16.32522404389317
0.24,0.02,0.74,14.407549736225347
0.24,0.04,0.72,12.379869385443053
0.24,0.06,0.7,10.263977477383035
0.24,0.08,0.68,8.181022553139378
0.24,0.1,0.66,6.308017095540652
0.24,0.12,0.64,4.921768128245585
0.24,0.14,0.62,4.3800682961763835
0.24,0.16,0.6,4.7605489093129005
0.24,0.18,0.58,5.666157747584458
0.24,0.2,0.56,6.695169664862283
0.24,0.22,0.54,7.637091273764109
0.24,0.24,0.52,8.397757273718982
0.24,0.26,0.5,8.937495580400814
0.24,0.28,0.48,9.24406655047157
0.24,0.3,0.46,9.321560299869557
0.24,0.32,0.44,9.186048653802747
0.24,0.34,0.42,8.864545683347385
0.24,0.36,0.4,8.395962398643096
0.24,0.38,0.38,7.833301088489103
0.24,0.4,0.36,7.245773995824312
0.24,0.42,0.34,6.717363273905655
0.24,0.44,0.32,6.334726818820177
0.24,0.46,0.3,6.158063524459465
0.24,0.48,0.28,6.185250293004869
0.24,0.5,0.26,6.340514836615587
0.24,0.52,0.24,6.501738051500218
0.24,0.54,0.22,6.543374409780144
0.24,0.56,0.2,6.375272194609398
0.24,0.58,0.18,5.985833723748076
0.24,0.6,0.16,5.514473766260532
0.24,0.62,0.14,5.345944750455276
0.24,0.64,0.12,5.994093783450961
0.24,0.66,0.1,7.579519139616736
0.24,0.68,0.08,9.728873067585866
0.24,0.7,0.06,11.957417117957563
0.24,0.72,0.04,13.82413556591121
0.24,0.74,0.02,14.939678147183571
0.24,0.76,0.0,15.192542026730726
0.26,0.0,0.74,15.138271095972934
0.26,0.02,0.72,12.982906063082442
0.26,0.04,0.7,10.862561525408138
0.26,0.06,0.68,8.78391082469285
0.26,0.08,0.66,6.888834609105059
0.26,0.1,0.64,5.407375405216346
0.26,0.12,0.62,4.655826577438919
0.26,0.14,0.6,4.793009893593525
0.26,0.16,0.58,5.542730491145854
0.26,0.18,0.56,6.502528348035114
0.26,0.2,0.54,7.423980344813519
0.26,0.22,0.52,8.187270565737759
0.26,0.24,0.5,8.73815580420899
0.26,0.26,0.48,9.05559976451683
0.26,0.28,0.46,9.137773408135791
0.26,0.3,0.44,8.996310512868252
0.26,0.32,0.42,8.654655663756976
0.26,0.34,0.4,8.149017709888243
0.26,0.36,0.38,7.531432858713207
0.26,0.38,0.36,6.874292266023949
0.26,0.4,0.34,6.2734112997895854
0.26,0.42,0.32,5.840310619460801
0.26,0.44,0.3,5.668377536392721
0.26,0.46,0.28,5.777336530379928
0.26,0.48,0.26,6.087338234225413
0.26,0.5,0.24,6.455872319073446
0.26,0.52,0.22,6.7350349738648125
0.26,0.54,0.2,6.810556217608639
0.26,0.56,0.18,6.631688475712413
0.26,0.58,0.16,6.256614530272285
0.26,0.6,0.14,5.926252497154069
0.26,0.62,0.12,6.086062735771281
0.26,0.64,0.1,7.097974544898486
0.26,0.66,0.08,8.847206665789153
0.26,0.68,0.06,10.888475311902116
0.26,0.7,0.04,12.733031677304922
0.26,0.72,0.02,13.923779007356897
0.26,0.74,0.0,14.268022403335767
0.28,0.0,0.72,13.788194307428363
0.28,0.02,0.7,11.48438286091297
0.28,0.04,0.68,9.366126704375404
0.28,0.06,0.66,7.425854302065712
0.28,0.08,0.64,5.834110736488253
0.28,0.1,0.62,4.861955100027347
0.28,0.12,0.6,4.731289424584748
0.28,0.14,0.58,5.300197141089797
0.28,0.16,0.56,6.184619085992068
0.28,0.18,0.54,7.094754565634776
0.28,0.2,0.52,7.8794830441132895
0.28,0.22,0.5,8.466979772933087
0.28,0.24,0.48,8.826054074178135
0.28,0.26,0.46,8.948451124557607
0.28,0.28,0.44,8.841318980499166
0.28,0.3,0.42,8.524665168522267
0.28,0.32,0.4,8.03191705522541
0.28,0.34,0.38,7.41310401736932
0.28,0.36,0.36,6.740420161000208
0.28,0.38,0.34,6.113992887728762
0.28,0.4,0.32,5.658301713744875
0.28,0.42,0.3,5.488567821211393
0.28,0.44,0.28,5.643448562440982
0.28,0.46,0.26,6.045765757079783
0.28,0.48,0.24,6.543028392544302
0.28,0.5,0.22,6.9739449983020565
